player,country,games,win_rate,kda,avg_kills,avg_deaths,avg_assists,csm,gpm,kp%,dmg%,dpm,vspm,avg_wpm,avg_wcpm,avg_vwpm,gd@15,csd@15,xpd@15,fb_%,fb_victim,penta_kills,solo_kills
Shaoye,CN,6,0.5,2.8,4.2,4.2,7.5,8.7,422,0.637,25.9,710,1.12,0.43,0.27,0.13,134,0,0,0.0,0.0,0,0
Sharvel,KR,13,0.231,2.6,2.2,3.3,6.3,6.6,345,0.82,19.9,505,1.41,0.33,0.34,0.26,-26,3,147,0.615,0.0,0,1
ShazQ,PL,4,1.0,13.7,3.5,1.5,17.0,6.0,370,0.804,13.1,441,1.34,0.32,0.26,0.28,-19,-2,-105,0.5,0.0,0,0
Sheiden,PH,3,0.667,4.3,2.7,2.7,8.7,6.3,354,0.772,15.5,430,1.15,0.33,0.21,0.3,-253,0,-73,0.0,0.0,0,0
Shelfmade,DE,5,0.8,7.0,3.4,1.0,3.6,7.7,410,0.457,21.1,587,0.85,0.4,0.11,0.12,650,21,254,0.4,0.0,0,3
Sheo,FR,9,0.33299999999999996,3.0,1.4,2.6,6.1,6.4,339,0.66,15.2,376,1.26,0.26,0.26,0.2,38,-1,62,0.111,0.222,0,0
Shiganari,LV,8,0.625,6.4,5.3,2.0,7.6,8.6,434,0.748,27.7,751,0.9,0.33,0.24,0.08,145,2,283,0.125,0.0,0,1
Shizika,RS,2,0.0,1.8,2.5,4.5,5.5,7.8,345,0.603,20.2,402,0.74,0.4,0.1,0.13,-1294,-36,-898,0.0,0.0,0,1
Shlatan,PL,4,0.0,1.0,1.3,5.0,3.5,6.0,316,0.7440000000000001,19.6,400,1.06,0.3,0.13,0.26,-830,7,118,0.0,0.25,0,0
Shogun,VN,9,0.778,11.6,4.8,1.0,6.8,10.1,468,0.6609999999999999,28.5,863,1.2,0.46,0.33,0.13,-104,-2,376,0.222,0.0,0,2
ShowMaker,KR,14,0.7140000000000001,7.4,4.0,1.5,7.1,8.1,405,0.701,24.4,650,1.16,0.4,0.25,0.21,-44,-3,-101,0.14300000000000002,0.0,0,3
Shy Carry,RS,10,0.6,7.3,4.3,1.8,8.9,8.7,432,0.785,29.6,825,1.28,0.38,0.38,0.17,-259,-5,-338,0.3,0.1,0,3
Simpli,FI,4,0.0,1.3,1.5,4.3,4.0,8.1,356,0.602,25.8,619,0.83,0.32,0.16,0.18,-558,-18,-17,0.25,0.5,0,1
Sinmivak,PL,10,0.4,3.5,2.1,2.0,4.8,8.0,383,0.56,25.7,586,0.87,0.38,0.14,0.11,122,-1,-389,0.1,0.3,0,2
Siuloong,VN,9,0.778,3.3,2.6,3.3,8.3,1.0,272,0.6459999999999999,7.0,200,4.22,2.12,0.6,0.52,2,-3,-155,0.222,0.33299999999999996,0,0
Siwoo,KR,14,0.7140000000000001,3.8,2.8,2.4,6.4,7.4,380,0.562,21.3,584,0.9,0.32,0.17,0.11,-190,-10,-451,0.071,0.429,0,1
Six10,SE,8,0.625,4.3,5.6,2.3,4.0,9.5,461,0.639,28.1,865,0.89,0.25,0.21,0.17,515,10,172,0.5,0.0,0,2
Skeanz,FR,8,0.75,7.3,3.0,2.0,11.5,6.4,367,0.732,16.9,539,1.22,0.25,0.24,0.22,-33,9,477,0.25,0.125,0,1
SkewMond,FR,9,0.667,5.6,3.1,2.0,8.0,7.0,383,0.7090000000000001,17.3,429,1.45,0.29,0.31,0.23,183,9,497,0.111,0.0,0,0
Slayder,VN,8,0.375,3.9,3.1,2.1,5.1,9.5,417,0.628,23.6,489,0.81,0.27,0.24,0.06,-401,5,-67,0.125,0.0,0,0
Slayer,KR,12,0.75,4.9,5.8,2.8,7.7,9.2,453,0.633,27.9,886,0.81,0.29,0.24,0.05,328,3,241,0.33299999999999996,0.25,0,2
Sleyer,FR,8,0.375,2.0,2.5,3.1,3.6,7.8,376,0.452,22.5,541,0.86,0.36,0.16,0.11,-575,-8,-186,0.0,0.0,0,2
SlowQ,KR,9,0.556,4.8,3.7,2.3,7.4,8.8,420,0.653,24.8,727,1.29,0.48,0.31,0.22,-1,3,169,0.33299999999999996,0.0,0,1
Smarty,CZ,9,0.111,1.4,0.7,5.1,6.4,1.0,229,0.732,8.9,211,2.98,1.4,0.39,0.4,-91,2,77,0.444,0.222,0,0
Smash,KR,17,0.706,6.1,4.8,1.6,5.2,9.8,465,0.693,26.9,704,1.3,0.4,0.41,0.13,637,7,-85,0.588,0.11800000000000001,0,2
Smurfe,NO,8,0.625,2.4,2.9,3.3,5.0,7.6,375,0.627,18.0,548,0.93,0.37,0.13,0.16,292,16,-181,0.0,0.0,0,3
